last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa,Country
Freeman, Freddie,518692,47,11.6,55.3,107.0,90.6,93.2,86.3,425,186,396.0,19,41.3,4,8.5,6.3,Australia
Betts, Mookie,605141,38,11.1,44.7,108.1,91.8,97.2,85.3,393,190,389.0,18,47.4,4,10.5,6.3,Australia
Smith, Will,669257,37,13.7,40.5,110.8,90.0,95.3,84.0,390,191,373.0,17,47.2,3,8.1,6.3,Australia
Martinez, J.D.,502110,35,17.7,42.9,111.1,96.0,96.8,95.1,409,191,409.0,21,60.0,6,17.1,10.0,Australia
Muncy, Max,571970,26,21.8,34.6,111.1,94.7,100.4,89.2,410,199,389.0,14,53.8,8,30.8,14.5,Australia
Outman, James,681546,25,5.5,44.0,110.7,91.2,95.7,86.9,423,179,410.0,11,44.0,6,24.0,12.2,Australia
Vargas, Miguel,678246,21,5.3,38.1,108.1,91.8,96.2,87.0,382,185,,10,47.6,2,9.5,4.5,Australia
Taylor, Chris,621035,20,10.3,30.0,110.7,85.2,99.2,73.8,430,175,419.0,9,45.0,4,20.0,10.3,Australia
Verdugo, Alex,657077,50,9.4,36.0,109.9,88.9,90.9,89.0,419,159,419.0,19,38.0,3,6.0,4.9,Cuba
Turner, Justin,457759,45,12.4,31.1,105.7,88.8,90.6,88.5,384,157,,14,31.1,0,0.0,0.0,Cuba
Devers, Rafael,646240,38,18.6,47.4,110.3,95.1,99.5,92.4,424,212,382.0,21,55.3,9,23.7,15.8,Cuba
Hernández, Enrique,571771,34,21.5,35.3,103.8,87.2,89.8,89.3,393,205,379.0,10,29.4,2,5.9,3.6,Cuba
Yoshida, Masataka,807799,34,-7.9,17.6,108.4,85.4,94.3,82.5,390,83,390.0,12,35.3,1,2.9,2.2,Cuba
Arroyo, Christian,624414,31,21.9,32.3,109.6,84.7,86.0,85.1,362,174,,7,22.6,0,0.0,0.0,Cuba
Casas, Triston,671213,28,14.7,32.1,110.8,89.4,96.5,79.2,401,174,376.0,7,25.0,2,7.1,4.3,Cuba
Duvall, Adam,594807,28,20.3,46.4,109.8,88.9,95.7,71.6,423,206,410.0,13,46.4,7,25.0,18.9,Cuba
Wong, Connor,657136,19,7.8,26.3,107.3,90.2,90.8,89.8,342,113,,7,36.8,1,5.3,3.3,Cuba
Refsnyder, Rob,608701,18,13.8,33.3,106.8,87.9,93.2,88.2,408,135,408.0,8,44.4,1,5.6,3.1,Cuba
Reynolds, Bryan,668804,50,17.6,42.0,109.0,91.7,96.8,88.0,414,190,397.0,25,50.0,12,24.0,20.7,Italy
