last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff,era,xera,era_minus_xera_diff,Country
Kershaw, Clayton,477132,2023,73,51,0.239,0.25,-0.011,0.418,0.453,-0.035,0.306,0.323,-0.017,3.5,4.33,-0.83,Australia
Syndergaard, Noah,592789,2023,70,49,0.273,0.253,0.02,0.515,0.388,0.127,0.355,0.302,0.0529999999999999,5.63,3.74,1.885,Australia
May, Dustin,669160,2023,68,49,0.115,0.221,-0.106,0.164,0.339,-0.175,0.181,0.288,-0.1069999999999999,1.47,3.38,-1.907,Australia
Urías, Julio,628711,2023,66,43,0.21,0.18,0.03,0.306,0.264,0.0419999999999999,0.242,0.22,0.0219999999999999,1.5,1.97,-0.47,Australia
Grove, Michael,675627,2023,58,39,0.302,0.233,0.0689999999999999,0.453,0.388,0.065,0.358,0.303,0.0549999999999999,9.0,3.77,5.23,Australia
Jackson, Andre,656578,2023,38,30,0.324,0.332,-0.008,0.73,0.702,0.028,0.448,0.442,0.006,8.64,9.26,-0.62,Australia
Almonte, Yency,622075,2023,30,24,0.346,0.28,0.0659999999999999,0.423,0.349,0.074,0.388,0.333,0.0549999999999999,6.0,4.64,1.36,Australia
Miller, Shelby,571946,2023,27,14,0.048,0.165,-0.117,0.048,0.454,-0.406,0.19,0.356,-0.1659999999999999,0.0,5.4,-5.4,Australia
Vesia, Alex,681911,2023,26,20,0.48,0.38,0.0999999999999999,0.76,0.558,0.2019999999999999,0.538,0.416,0.122,7.71,7.9,-0.186,Australia
Bickford, Phil,641360,2023,26,13,0.2,0.174,0.026,0.48,0.329,0.1509999999999999,0.298,0.231,0.0669999999999999,4.26,2.16,2.103,Australia
Ferguson, Caleb,657571,2023,23,16,0.286,0.252,0.0339999999999999,0.286,0.28,0.0059999999999999,0.296,0.277,0.0189999999999999,3.38,3.12,0.255,Australia
Graterol, Brusdar,660813,2023,22,18,0.3,0.287,0.013,0.5,0.389,0.1109999999999999,0.341,0.317,0.024,5.06,4.15,0.913,Australia
Phillips, Evan,623465,2023,20,12,0.278,0.233,0.045,0.667,0.531,0.136,0.391,0.329,0.062,5.4,4.51,0.89,Australia
Pivetta, Nick,601713,2023,64,38,0.204,0.246,-0.042,0.444,0.514,-0.07,0.334,0.377,-0.0429999999999999,4.5,6.19,-1.69,Cuba
Sale, Chris,519242,2023,64,37,0.327,0.26,0.067,0.655,0.512,0.143,0.445,0.395,0.0499999999999999,11.25,6.93,4.32,Cuba
Houck, Tanner,656557,2023,58,36,0.24,0.185,0.0549999999999999,0.4,0.302,0.098,0.322,0.27,0.0519999999999999,4.5,2.96,1.54,Cuba
Kluber, Corey,446372,2023,57,38,0.255,0.256,-0.001,0.569,0.506,0.0629999999999999,0.383,0.362,0.021,6.92,5.62,1.303,Cuba
Crawford, Kutter,676710,2023,53,37,0.294,0.257,0.0369999999999999,0.569,0.528,0.0409999999999999,0.378,0.346,0.032,6.75,5.06,1.69,Cuba
Winckowski, Josh,670174,2023,47,36,0.205,0.201,0.0039999999999999,0.25,0.283,-0.0329999999999999,0.233,0.241,-0.0079999999999999,1.5,2.35,-0.85,Cuba
Ort, Kaleb,672391,2023,38,27,0.314,0.231,0.0829999999999999,0.543,0.436,0.107,0.364,0.287,0.077,5.63,3.36,2.265,Cuba
Brasier, Ryan,518489,2023,38,25,0.219,0.276,-0.057,0.25,0.373,-0.123,0.288,0.353,-0.065,5.4,5.3,0.1,Cuba
Schreiber, John,670167,2023,34,17,0.241,0.172,0.069,0.31,0.206,0.104,0.31,0.248,0.062,1.13,2.49,-1.365,Cuba
Kelly, Zack,677161,2023,34,19,0.24,0.252,-0.012,0.4,0.45,-0.0499999999999999,0.38,0.401,-0.021,3.68,7.2,-3.518,Cuba
Martin, Chris,455119,2023,29,26,0.296,0.319,-0.023,0.444,0.49,-0.0459999999999999,0.322,0.376,-0.0539999999999999,2.57,6.15,-3.579,Cuba
Bleier, Richard,542947,2023,28,20,0.4,0.251,0.149,0.48,0.336,0.1439999999999999,0.424,0.305,0.119,11.81,3.82,7.993,Cuba
Jansen, Kenley,445276,2023,21,12,0.211,0.172,0.039,0.263,0.213,0.05,0.255,0.22,0.035,0.0,1.97,-1.97,Cuba
Whitlock, Garrett,676477,2023,21,16,0.381,0.335,0.0459999999999999,0.857,0.724,0.133,0.518,0.443,0.075,9.0,9.32,-0.32,Cuba
Oviedo, Johan,670912,2023,78,54,0.236,0.225,0.0109999999999999,0.389,0.366,0.023,0.291,0.278,0.0129999999999999,2.46,3.14,-0.685,Italy
Keller, Mitch,656605,2023,75,45,0.239,0.22,0.0189999999999999,0.433,0.407,0.026,0.33,0.314,0.016,3.57,4.07,-0.504,Italy
Contreras, Roansy,672710,2023,69,49,0.31,0.285,0.025,0.379,0.383,-0.004,0.347,0.35,-0.003,6.0,5.19,0.81,Italy
Hill, Rich,448179,2023,65,53,0.262,0.308,-0.0459999999999999,0.639,0.682,-0.043,0.395,0.434,-0.0389999999999999,7.2,8.82,-1.62,Italy
Velasquez, Vince,592826,2023,61,44,0.259,0.258,0.001,0.407,0.464,-0.057,0.335,0.353,-0.0179999999999999,5.4,5.3,0.1,Italy
Moreta, Dauri,664294,2023,33,15,0.192,0.223,-0.031,0.385,0.398,-0.013,0.342,0.357,-0.0149999999999999,3.86,5.44,-1.583,Italy
Crowe, Wil,640444,2023,33,21,0.179,0.331,-0.152,0.321,0.577,-0.2559999999999999,0.288,0.439,-0.151,2.35,9.1,-6.752,Italy
De Jong, Chase,608328,2023,30,22,0.304,0.286,0.018,0.522,0.358,0.164,0.366,0.315,0.0509999999999999,8.53,4.1,4.426,Italy
Underwood Jr., Duane,621249,2023,28,21,0.333,0.265,0.068,0.37,0.332,0.0379999999999999,0.326,0.275,0.0509999999999999,5.68,3.07,2.614,Italy
Holderman, Colin,670059,2023,27,20,0.2,0.245,-0.0449999999999999,0.24,0.317,-0.077,0.232,0.279,-0.047,0.0,3.16,-3.16,Italy
Zastryzny, Rob,642239,2023,27,16,0.286,0.205,0.0809999999999999,0.381,0.266,0.1149999999999999,0.357,0.285,0.072,7.94,3.31,4.631,Italy
Bednar, David,670280,2023,26,16,0.2,0.144,0.056,0.28,0.176,0.104,0.208,0.14,0.0679999999999999,1.5,0.86,0.64,Italy
Hernandez, Jose,669796,2023,25,19,0.25,0.312,-0.062,0.333,0.401,-0.068,0.254,0.311,-0.0569999999999999,1.42,3.98,-2.559,Italy
Cole, Gerrit,543037,2023,71,42,0.175,0.217,-0.042,0.222,0.299,-0.0769999999999999,0.224,0.267,-0.043,1.4,2.89,-1.493,Japan
Cortes, Nestor,641482,2023,68,49,0.25,0.224,0.0259999999999999,0.406,0.387,0.019,0.307,0.287,0.02,2.6,3.36,-0.764,Japan
Germán, Domingo,593334,2023,57,33,0.176,0.211,-0.035,0.333,0.352,-0.0189999999999999,0.255,0.289,-0.0339999999999999,3.86,3.41,0.447,Japan
Schmidt, Clarke,657376,2023,53,37,0.34,0.349,-0.0089999999999999,0.617,0.619,-0.002,0.428,0.437,-0.009,8.44,8.99,-0.552,Japan
Brito, Jhony,666745,2023,46,34,0.275,0.303,-0.0279999999999999,0.425,0.592,-0.1669999999999999,0.324,0.414,-0.0899999999999999,6.75,7.8,-1.05,Japan
King, Michael,650633,2023,41,29,0.282,0.3,-0.018,0.333,0.363,-0.0299999999999999,0.293,0.31,-0.017,1.86,3.96,-2.098,Japan
Hamilton, Ian,641656,2023,37,18,0.219,0.183,0.036,0.281,0.293,-0.0119999999999999,0.265,0.274,-0.009,2.08,3.05,-0.973,Japan
