player,team,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG
MitchNeunborn,AUS,0,0,4.76,3,0,0,0,0,1,5.2,3,3,3,0,0,3,8,1.06,0.15
KyleGlogoski,AUS,1,0,0,1,1,0,0,0,0,2.2,1,0,0,0,0,3,5,1.5,0.111
SamHolland,AUS,0,0,4.5,4,0,0,0,0,0,2,3,1,1,0,1,1,3,2,0.375
JackO'Loughlin,AUS,0,0,1.93,2,2,0,0,0,0,4.2,1,1,1,0,0,0,3,0.21,0.067
ToddVan Steensel,AUS,0,0,0,2,0,0,0,0,0,3,2,0,0,0,0,0,3,0.67,0.182
LiamDoolan,AUS,0,0,9,1,0,0,0,0,0,1,1,1,1,0,0,2,2,3,0.25
JoshGuyer,AUS,0,1,6,3,0 ,0,0,1,1,3,2,2,2,0,0,3,1,1.67,0.2
JonKennedy,AUS,1,0,0,3,0,0,0,0,0,2,3,0,0,0,0,1,1,2,0.429
StevenKent,AUS,0,0,11.57,2,1,0,0,0,0,2.1,1,3,3,0,0,5,1,2.57,0.125
WilliamSherriff,AUS,0,1,20.25,2,1,0,0,0,0,1.1,2,3,3,1,2,2,1,3,0.333
LukeWilkins,AUS,0,0,15,2,0,0,0,0,0,3,8,5,5,0,0,1,1,3,0.5
MiguelRomero,CUB,2,0,2.08,5,0,0,0,0,0,8.2,7,2,2,0,1,1,13,0.92,0.219
YarielRodriguez,CUB,0,0,2.45,2,2,0,0,0,0,7.1,5,2,2,0,2,6,10,1.5,0.2
RoenisElias,CUB,0,1,5,3,2,0,0,0,0,9,8,5,5,3,1,2,4,1.11,0.229
RaidelMartinez,CUB,0,1,4.5,3,0,0,0,1,1,4,3,3,2,0,0,0,4,0.75,0.2
FrankAlvarez,CUB,0,0,3.38,2,0,0,0,0,0,2.2,2,1,1,0,0,2,3,1.5,0.2
OnelkiGarcia,CUB,0,1,9.82,3,0,0,0,0,0,3.2,3,4,4,0,0,2,3,1.36,0.214
JoseRodriguez,CUB,0,0,7.71,2,0,0,0,0,0,2.1,4,2,2,1,0,0,1,1.71,0.364
RonaldBolanos,CUB,0,0,27,2,1,0,0,0,0,1.2,5,6,5,1,1,3,0,4.8,0.5
VinnyNittoli,ITA,0,0,5.4,3,0,0,0,0,0,3.1,5,2,2,0,0,0,7,1.5,0.333
MattFesta,ITA,1,0,2.25,3,0,0,0,0,1,4,4,1,1,0,0,0,5,1,0.25
